Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,
Netflix,Queer Eye,Alternative,0.00,,0.00,,0.00,,
Netflix,My Next Guest Needs No Introduction with David Letterman,Alternative,0.00,,0.00,,0.00,,
Netflix,Nailed it! Season 3,Alternative,0.00,,0.00,,0.00,,
Netflix,"Girls Incarcerated, Season 2",Alternative,0.00,,0.00,,0.00,,
Netflix,3 Below: Tales of Arcadia,Kids,1.00,Diego Luna,1.00,Guillermo Del Toro,1.00,"Francisco Ruiz-Velasco, Rodrigo Blaas",
Netflix,Exhibt A ,Docu-series,0.00,,0.00,,n/a,,
Netflix,Family Reunion,Comedy,0.00,,0.00,,0.00,,
Netflix,Harvey Girls Forever!,Kids,0.00,,0.00,,0.00,,
Netflix,Jailbirds,Docu-series,0.00,,0.00,,n/a,,
Netflix,No Good Nick,Comedy ,0.00,,0.00,,0.00,,
Netflix,Pinky Malinky,Kids,0.00,,0.00,,0.00,,
Netflix,Prince of Peoria,Kids,0.00,,0.00,,0.00,,
Netflix,The Epic Tales of Captain Underpants,Kids,0.00,,0.00,,1.00,Octavio E. Rodriguez,
Netflix,True and the Rainbow Kingdom,Kids,0.00,,0.00,,0.00,,
Netflix,Tuca & Bertie,Comedy,0.00,,0.00,,0.00,,
Netflix,"She-Ra and the Princess of Powe, Season 3",Kids,1.00,Aimee Carrero,0.00,,0.00,,
Netflix,Ask the StoryBots Season 3:,Kids,0.00,,0.00,,0.00,,
Netflix,Trolls: The Beat Goes On! ,Kids,0.00,,0.00,,0.00,,
Netflix,"Motown Magic, Season 2",Kids,0.00,,0.00,,0.00,,
Netflix ,**Historical Roasts,Comedy,0.00,,0.00,,0.00,,
Netflix ,**Wu Assassins,Drama,0.00,,0.00,,0.00,,
Netflix ,**Trinkets,Drama,0.00,,0.00,,0.00,,
Netflix ,**The Chef Show,Docu-series,0.00,,0.00,,0.00,,
Netflix ,**Basketball or Nothing ,Docu-series,0.00,,0.00,,0.00,,
,,,,,,,,,
,,,,,,,,,
NICKELODEON,Hunter Street,Kids,0.00,,0.00,,0.00,,
NICKELODEON,The Loud House,Kids,0.00,,0.00,,0.00,,
Nickelodeon,Are You Smarter Than a 5th Grader?,Kids,0.00,,0.00,,0.00,,
Nickelodeon,All That,Kids,0.00,,0.00,,0.00,,
,,Nickelodeon,0%,,0%,,0%,,
,,,,,,,,,
OWN,**Ambitions,Drama,0.00,,0.00,,0.00,,
OWN,**David Makes Man,Drama,0.00,,0.00,,0.00,,
OWN,AMBITIONS ,drama,0.00,,0.00,,0.00,,
OWN,TO HAVE & TO HOLD: CHARLOTTE,reality ,0.00,,0.00,,0.00,,
OWN,**Iyanla: Fix My Life,Talk-Show,0.00,,0.00,,0.00,,
OWN,Queen Sugar,Drama,0.00,,0.00,,1.00,Carmen Marrón,
OWN,Black Love Season 4 ,Alternative,0.00,,0.00,,0.00,,
,,OWN,0%,,0%,,1/7= 14.3%,,
,,,,,,,,,
Paramount,MARRIAGE RESCUE ,Alternative,0.00,,0.00,,n/a,,
Paramount,Yellowstone,Drama,0.00,,0.00,,0.00,,
Paramount,Lip Sync Battle,Alternative,0.00,,0.00,,n/a,,
Paramount,Cops,Alternative,0.00,,0.00,,n/a,,
Paramount,THE LAST COWBOY,Alternative,0.00,,0.00,,n/a,,
Paramount,Ink Master,Alternative,1.00,"Dave Navarro (129), Chris Nunez (108)",0.00,,n/a,,
PARAMOUNT,Cops,Alternative,0.00,,0.00,,0.00,,
,,Paramount,,,0%,,,,
,,,,,,,,,
Showtime,**On Becoming a God in Central Florida ,Comedy,1.00, Mel Rodriguez,0.00,,0.00,,
Showtime,City On A Hill,Drama,0.00,,0.00,,1.00,Michael Cuesta (1),
Showtime,**Shangri-La,Docu-series,0.00,,0.00,,0.00,,
