Network,Title ,Genre,"Shows/Films with Latino Lead and/or co-lead 
Actors/Actresses 0=no 1=yes",Names of Latino Lead Actors/Actresses,"Latino ""Showrunner/Lead Writer""? no= 0 yes=1",Names of Latino lead writers/show runners ,Latino Directors? 0= no or 1,Names of Latino Directors ,,,,,,
VH1,Scream Resurrection,Drama,0,,0,,0,,,,,,,
Discovery,Serengeti,Docu-series,0,,0,,n/a,,,,,,,
Investigation Discovery,Serial Killer: Devil Unchained,Drama,0,,0,,n/a,,,,,,,
Showtime,Shangri-La,Docu-series,0,,0,,0,,,,,,,
DISCOVERY CHANNEL,Shark Week,Docu-series,0,,0,,n/a,,,,,,,
Netflix,She's Gotta Have It,Comedy,1,Anthony Ramos ,0,,0,,,,,,,
Freeform,Siren,Drama,0,,0,,1,,,,,,,
TLC,sMothered,Alternative,0,,0,,n/a,,,,,,,
Amazon,Sneaky Pete,Drama,0,,0,,0,,,,,,,
FX,Snowfall Season 3,Drama,0,,0,,1,,,,,,,
FOX,So You Think You Can Dance,Alternative,0,,0,,0,,,,,,,
NBC,Songland,Alternative,0,,0,,0,,,,,,,
Comedy Central,South Side,Comedy,0,,0,,0,,,,,,,
Bravo,Southern Charm New Orleans ,Alternative,0,,0,,0,,,,,,,
FOX,Spin the Wheel,Alternative,0,,0,,0,,,,,,,
HGTV,Stay or Sell,Alternative,0,,0,,n/a,,,,,,,
Investigation Discovery,Still a Mystery,Drama,0,,0,,n/a,,,,,,,
USA,Straight Up Steve Austin,Alternative,0,,0,,n/a,,,,,,,
CBS,Strange Angel,Drama,0,,0,,0,,,,,,,
Travel Channel,Strange World,Reality Series,0,,0,,n/a,,,,,,,
Netflix,Stranger Things,Drama,0,,0,,0,,,,,,,
Netflix,Styling Hollywood,Alternative,0,,0,,0,,,,,,,
HBO,Succession,Drama,0,,0,,0,,,,,,,
USA,Suits,Drama,0,,0,,0,,,,,,,
Food Network,Supermarket Stakeout,Alternative ,0,,0,,n/a,,,,,,,
HGTV,Supersize My Pool,Alternative,1,Mario Lopez,0,,n/a,,,,,,,
TLC,Sweet Home Sextuplets,Alternative,0,,0,,n/a,,,,,,,
Starz,Sweetbitter,Drama,0,,0,,0,,,,,,,
Netflix,Tales of the City,Drama,0,,0,,1,,,,,,,
AMC,Talking Dead ,Alternative,0,,0,,0,,,,,,,
ABC,"The $100,000 Pyramid",Alternative,0,,0,,0,,,,,,,
CW,The 100,Drama,1,Lindsey Morgan,0,,0,,,,,,,
